,statename,year,mood,democrat,republican,liberal,conservative,mood_d2
1685,New Jersey,1991.0,47.111,26.04294638483705,33.68287415443124,28.511006822648678,43.762090817135565,48.473
1686,New Jersey,1992.0,48.171,30.240155454722682,29.263961024074415,19.523638860439195,30.76639389082367,51.654
1687,New Jersey,1993.0,46.203,28.870767207490296,27.902830465990046,17.524615938695042,30.299814589627044,50.467
1688,New Jersey,1994.0,42.73,30.76839638806788,27.630381946846285,13.092422939353796,31.33268034598999,48.177
1689,New Jersey,1995.0,41.201,25.45142806228226,21.438716874543086,16.18410930140962,29.173140827231748,51.162
1690,New Jersey,1996.0,38.593,33.07666275558965,18.303270092723686,14.368174979535626,25.193742003351165,49.467
1691,New Jersey,1997.0,39.711,28.430033998246934,19.881007603260773,16.31924251111789,27.57073505985061,51.797
1692,New Jersey,1998.0,37.36,26.45649935429265,20.74982574368069,16.101278731386408,24.603132413176503,49.426
1693,New Jersey,1999.0,37.707,26.898275915538544,19.928261824151747,15.93409689218894,26.523109734868022,49.219
1694,New Jersey,2000.0,42.955,36.6912480587205,23.66424524740172,22.932330504193278,23.964974627918444,52.473
1695,New Jersey,2001.0,46.176,31.8630812431755,26.448958783324642,17.046410240591854,31.89507167283289,61.555
1696,New Jersey,2002.0,46.038,36.71874913658902,24.33658798589996,22.400882158434126,32.750933439650545,58.403
1697,New Jersey,2003.0,48.017,27.856976989776665,29.265074131892288,23.399089594256345,33.324884139445174,55.576
1698,New Jersey,2004.0,49.233,34.16026725714143,31.529136152151626,21.82362404527007,30.955895900724677,57.84
1699,New Jersey,2005.0,45.587,32.758388484996345,32.12146654715605,20.774886828619817,35.76338012700372,53.413
1700,New Jersey,2006.0,46.171,31.57716650318585,25.874010491030948,23.50235094671537,34.97635958526376,56.3
1701,New Jersey,2007.0,49.346,35.08882529239295,21.403535418685085,25.342539682870314,35.89339307140772,59.803
1702,New Jersey,2008.0,50.18,36.866332886188076,23.169574712375777,25.663316033026977,30.625505061856508,58.345
1703,New Jersey,2009.0,50.328,37.101935719442196,26.799580749277336,25.31105130892872,34.541181745278884,57.401
1704,New Jersey,2010.0,48.257,32.742326022971454,27.408612671891873,24.229679323146485,35.088191679905776,53.089
1705,New Mexico,1956.0,40.52,46.95494986313908,20.876050572284317,,,41.122
1706,New Mexico,1957.0,42.218,41.46422744503143,28.34204883012831,,,34.765
1707,New Mexico,1958.0,51.192,47.83569030561276,22.777497697145282,,,40.582
1708,New Mexico,1959.0,49.534,45.74240745688666,24.60959852989014,,,42.906
1709,New Mexico,1960.0,45.152,52.875540591177625,16.404497961200494,,,36.767
1710,New Mexico,1961.0,53.465,49.20667607895423,36.06881312666131,,,44.881
1711,New Mexico,1962.0,56.182,54.65923506933132,20.25623826458834,,,49.246
1712,New Mexico,1963.0,52.325,38.05009033607194,28.52446652619941,,,46.309
1713,New Mexico,1964.0,56.259,51.13011802874507,30.65146513162531,,,42.203
1714,New Mexico,1965.0,55.627,49.421675582629206,24.678955940371424,,,42.971
1715,New Mexico,1966.0,56.042,44.124567991296324,29.153651973913817,,,38.691
1716,New Mexico,1967.0,55.344,39.82709298236712,23.550680998538116,,,43.176
1717,New Mexico,1968.0,52.161,38.433251410209564,33.778144981882605,,,42.077
1718,New Mexico,1969.0,47.801,36.57452322178812,32.61221883124744,,,36.32
1719,New Mexico,1970.0,45.668,41.438853768161785,28.094164194171654,,,32.002
1720,New Mexico,1971.0,49.781,41.85197932243748,25.46405919984544,,,30.621
1721,New Mexico,1972.0,46.438,43.91601978484301,24.52345046153556,,,34.911
1722,New Mexico,1973.0,42.216,45.13440067320268,23.40164807663599,,,33.071
1723,New Mexico,1974.0,39.072,59.48454913318213,20.328632568287695,,,33.694
1724,New Mexico,1975.0,40.773,41.943912074032966,22.34619608325489,,,33.751
1725,New Mexico,1976.0,39.423,43.13905979053684,20.48322057795672,22.942689525199928,31.0210663128049,34.062
1726,New Mexico,1977.0,37.406,43.98950370212521,29.404090500560415,19.441538440372806,24.05964267806881,33.78
1727,New Mexico,1978.0,38.947,47.023190543873866,27.80824625826885,23.963847829678823,31.058102872728742,33.402
1728,New Mexico,1979.0,34.126,40.764249275564545,21.765826634076173,23.567365100273058,39.26057701029002,38.508
1729,New Mexico,1980.0,33.339,39.87118667424309,23.81625381658744,20.908256078865367,25.164817507934917,37.854
1730,New Mexico,1981.0,35.776,48.42012243295177,25.880924026557466,21.903716018927145,37.89543924983108,38.263
1731,New Mexico,1982.0,36.895,41.30723873048729,33.95151129090295,20.264524700116663,31.507953058000215,36.768
1732,New Mexico,1983.0,38.733,46.22679031025294,22.422943530323497,23.95407533837587,30.30893764312046,37.541
1733,New Mexico,1984.0,39.384,38.35169600892621,37.769496700236765,19.327679853141596,27.684150117634843,37.307
1734,New Mexico,1985.0,41.454,33.95013242327863,32.509405881652306,21.663794701041745,25.469680427307367,40.648
1735,New Mexico,1986.0,43.171,32.87590126011388,32.418288796257045,20.99008865011506,27.104407030624557,43.435
1736,New Mexico,1987.0,43.945,40.2684104622235,30.821679074269188,26.19758775357255,34.84797133431635,42.563
1737,New Mexico,1988.0,43.636,41.792851168254074,33.82149596403809,21.77701028792926,29.8445801190281,43.394
1738,New Mexico,1989.0,44.586,45.25384964765857,26.31694063591363,25.665816445311247,30.330746884057096,42.984
1739,New Mexico,1990.0,46.696,37.201542156880166,36.47155110285372,28.151026128732987,37.68020722789968,42.305
1740,New Mexico,1991.0,44.055,31.222655889201945,29.726005464491912,30.315442176552043,41.3182408357171,42.959
1741,New Mexico,1992.0,44.42,35.972930199016474,27.131013961311456,19.119883364426364,30.186509801745874,45.024
1742,New Mexico,1993.0,42.005,29.972212832776435,26.460658926417928,17.078728799916746,28.91973657705235,43.814
1743,New Mexico,1994.0,37.179,32.72864891139218,22.38545623268519,13.981739034357238,29.93170768478412,44.325
1744,New Mexico,1995.0,34.311,29.820380623783905,22.438921437901318,13.908936920559011,31.573163921466797,49.953
1745,New Mexico,1996.0,32.163,32.02676732011208,22.426653258919114,14.291378329915464,27.30500511071409,49.756
1746,New Mexico,1997.0,32.031,24.844267855043835,21.804145664117712,14.174880784725172,27.691424112548457,47.954
1747,New Mexico,1998.0,30.083,28.8463329545619,20.044460585123247,16.342329784697135,24.338912135249284,48.104
1748,New Mexico,1999.0,29.442,24.138545476664287,20.587007957540596,14.817209222808195,28.277626658712528,48.086
1749,New Mexico,2000.0,34.749,36.65267268794315,27.32554845206329,18.972761591018433,30.51767862625672,46.902
1750,New Mexico,2001.0,40.317,35.885118636686876,29.06128859733183,17.83747921514956,31.69858639436231,53.835
1751,New Mexico,2002.0,40.348,31.058753796552587,33.472790675545546,19.991479756176204,36.36004623877253,52.622
1752,New Mexico,2003.0,40.032,24.609932032696886,34.55397252248778,22.231783641669356,37.45276375647732,49.053
1753,New Mexico,2004.0,40.288,34.346468886209955,33.25063980898162,22.3383824004911,33.00791860477888,50.351
1754,New Mexico,2005.0,46.879,33.77870001848405,32.884459971000254,22.814459882022874,33.66192298721427,52.888
1755,New Mexico,2006.0,44.496,33.03688827292029,31.075414785740307,22.0530020528514,35.862063362469506,49.694
1756,New Mexico,2007.0,48.54,32.29714420798782,25.193483505620218,24.48223949106042,37.92046657336891,51.402
1757,New Mexico,2008.0,47.952,37.81193188650627,26.497144272670976,26.592836261784765,32.6185240875797,53.945
1758,New Mexico,2009.0,50.376,36.63037396262435,32.76953335635386,25.930023755412417,39.8124714488999,63.526
1759,New Mexico,2010.0,45.898,33.816645408101365,30.02777810482973,22.01958324857871,38.56827102491238,57.228
1760,New York,1956.0,51.086,40.99622767268018,36.92136841412673,,,50.913
1761,New York,1957.0,47.047,33.4211484092089,40.25080483221008,,,47.301
1762,New York,1958.0,60.982,37.150800441694464,39.65370141870851,,,52.547
1763,New York,1959.0,61.8,39.488135287685935,30.471309198391573,,,52.06
1764,New York,1960.0,56.103,45.483546597092676,31.995289603242753,,,49.121
1765,New York,1961.0,56.292,50.96379637427889,28.867141562057398,,,47.734
1766,New York,1962.0,58.015,50.38209369739525,28.87032443059653,,,50.883
1767,New York,1963.0,54.018,45.57366893099789,31.036483918892944,,,50.993
1768,New York,1964.0,58.944,54.332883108763475,27.959649612686455,,,49.697
1769,New York,1965.0,61.727,46.78626262757861,27.832405858748743,,,48.694
1770,New York,1966.0,62.356,45.33216556035218,28.282800398600262,,,42.714
1771,New York,1967.0,57.698,41.0480708304055,26.702344445514132,,,42.323
1772,New York,1968.0,57.051,47.14724200520344,28.642875821181235,,,40.436
1773,New York,1969.0,53.775,39.196383039710184,29.482406637022546,,,35.683
1774,New York,1970.0,54.936,39.890530574696704,32.70343336576426,,,35.457
1775,New York,1971.0,56.723,44.999534500180054,27.46386719573656,,,38.906
1776,New York,1972.0,53.977,38.880858523103306,31.81951816858848,,,38.729
1777,New York,1973.0,51.298,37.39075898933697,26.260415197680032,,,38.262
1778,New York,1974.0,49.69,41.9512419000622,26.43091929412293,,,36.753
1779,New York,1975.0,50.289,39.89388868784942,23.224781129143746,,,38.175
1780,New York,1976.0,48.372,34.69168520777117,28.3641499285901,28.30163279582301,27.102094485956368,40.506
1781,New York,1977.0,47.86,42.62497079812473,28.03669399608309,27.05004526979297,24.563321170233362,38.93
1782,New York,1978.0,46.131,46.75794116046691,24.74951172228578,26.36951070203775,24.661287834366995,39.764
1783,New York,1979.0,40.191,43.7490067051912,28.766340673588154,28.421856838358273,36.566611311760646,41.184
1784,New York,1980.0,39.764,42.37383137112991,24.156637701958168,24.41108360162204,23.7595679173875,42.328
1785,New York,1981.0,42.639,45.40298542339997,25.776018959590047,24.648318572122545,34.323321140254755,41.351
1786,New York,1982.0,43.894,42.68014220757688,32.96006502086264,24.393464647012276,25.966134312993756,40.23
